state_a	state_b	overlaps_including_base	overlaps_excluding_base
TOKEN_DEATH	TOKEN_DEATH	899	899
TOKEN_DEATH	TOKEN_DISTRIBUTION	0	0
TOKEN_DEATH	TOKEN_EXPANSION	0	0
TOKEN_DEATH	TOKEN_COORDINATION	0	0
TOKEN_DEATH	TOKEN_ACCELERATION	0	0
TOKEN_DEATH	TOKEN_EARLY_TREND	899	899
TOKEN_DEATH	TOKEN_IGNITION	0	0
TOKEN_DEATH	TOKEN_QUIET	0	0
TOKEN_DEATH	TOKEN_BASE_ACTIVITY	0	0
TOKEN_DISTRIBUTION	TOKEN_DEATH	0	0
TOKEN_DISTRIBUTION	TOKEN_DISTRIBUTION	0	0
TOKEN_DISTRIBUTION	TOKEN_EXPANSION	0	0
TOKEN_DISTRIBUTION	TOKEN_COORDINATION	0	0
TOKEN_DISTRIBUTION	TOKEN_ACCELERATION	0	0
TOKEN_DISTRIBUTION	TOKEN_EARLY_TREND	0	0
TOKEN_DISTRIBUTION	TOKEN_IGNITION	0	0
TOKEN_DISTRIBUTION	TOKEN_QUIET	0	0
TOKEN_DISTRIBUTION	TOKEN_BASE_ACTIVITY	0	0
TOKEN_EXPANSION	TOKEN_DEATH	0	0
TOKEN_EXPANSION	TOKEN_DISTRIBUTION	0	0
TOKEN_EXPANSION	TOKEN_EXPANSION	0	0
TOKEN_EXPANSION	TOKEN_COORDINATION	0	0
TOKEN_EXPANSION	TOKEN_ACCELERATION	0	0
TOKEN_EXPANSION	TOKEN_EARLY_TREND	0	0
TOKEN_EXPANSION	TOKEN_IGNITION	0	0
TOKEN_EXPANSION	TOKEN_QUIET	0	0
TOKEN_EXPANSION	TOKEN_BASE_ACTIVITY	0	0
TOKEN_COORDINATION	TOKEN_DEATH	0	0
TOKEN_COORDINATION	TOKEN_DISTRIBUTION	0	0
TOKEN_COORDINATION	TOKEN_EXPANSION	0	0
TOKEN_COORDINATION	TOKEN_COORDINATION	424	424
TOKEN_COORDINATION	TOKEN_ACCELERATION	187	187
TOKEN_COORDINATION	TOKEN_EARLY_TREND	0	0
TOKEN_COORDINATION	TOKEN_IGNITION	360	360
TOKEN_COORDINATION	TOKEN_QUIET	0	0
TOKEN_COORDINATION	TOKEN_BASE_ACTIVITY	424	0
TOKEN_ACCELERATION	TOKEN_DEATH	0	0
TOKEN_ACCELERATION	TOKEN_DISTRIBUTION	0	0
TOKEN_ACCELERATION	TOKEN_EXPANSION	0	0
TOKEN_ACCELERATION	TOKEN_COORDINATION	187	187
TOKEN_ACCELERATION	TOKEN_ACCELERATION	187	187
TOKEN_ACCELERATION	TOKEN_EARLY_TREND	0	0
TOKEN_ACCELERATION	TOKEN_IGNITION	162	162
TOKEN_ACCELERATION	TOKEN_QUIET	0	0
TOKEN_ACCELERATION	TOKEN_BASE_ACTIVITY	187	0
TOKEN_EARLY_TREND	TOKEN_DEATH	899	899
TOKEN_EARLY_TREND	TOKEN_DISTRIBUTION	0	0
TOKEN_EARLY_TREND	TOKEN_EXPANSION	0	0
TOKEN_EARLY_TREND	TOKEN_COORDINATION	0	0
TOKEN_EARLY_TREND	TOKEN_ACCELERATION	0	0
TOKEN_EARLY_TREND	TOKEN_EARLY_TREND	375013	375013
TOKEN_EARLY_TREND	TOKEN_IGNITION	1541	1541
TOKEN_EARLY_TREND	TOKEN_QUIET	2356	2356
TOKEN_EARLY_TREND	TOKEN_BASE_ACTIVITY	373949	0
TOKEN_IGNITION	TOKEN_DEATH	0	0
TOKEN_IGNITION	TOKEN_DISTRIBUTION	0	0
TOKEN_IGNITION	TOKEN_EXPANSION	0	0
TOKEN_IGNITION	TOKEN_COORDINATION	360	360
TOKEN_IGNITION	TOKEN_ACCELERATION	162	162
TOKEN_IGNITION	TOKEN_EARLY_TREND	1541	1541
TOKEN_IGNITION	TOKEN_IGNITION	1901	1901
TOKEN_IGNITION	TOKEN_QUIET	0	0
TOKEN_IGNITION	TOKEN_BASE_ACTIVITY	1901	0
TOKEN_QUIET	TOKEN_DEATH	0	0
TOKEN_QUIET	TOKEN_DISTRIBUTION	0	0
TOKEN_QUIET	TOKEN_EXPANSION	0	0
TOKEN_QUIET	TOKEN_COORDINATION	0	0
TOKEN_QUIET	TOKEN_ACCELERATION	0	0
TOKEN_QUIET	TOKEN_EARLY_TREND	2356	2356
TOKEN_QUIET	TOKEN_IGNITION	0	0
TOKEN_QUIET	TOKEN_QUIET	2356	2356
TOKEN_QUIET	TOKEN_BASE_ACTIVITY	2336	0
TOKEN_BASE_ACTIVITY	TOKEN_DEATH	0	0
TOKEN_BASE_ACTIVITY	TOKEN_DISTRIBUTION	0	0
TOKEN_BASE_ACTIVITY	TOKEN_EXPANSION	0	0
TOKEN_BASE_ACTIVITY	TOKEN_COORDINATION	424	0
TOKEN_BASE_ACTIVITY	TOKEN_ACCELERATION	187	0
TOKEN_BASE_ACTIVITY	TOKEN_EARLY_TREND	373949	0
TOKEN_BASE_ACTIVITY	TOKEN_IGNITION	1901	0
TOKEN_BASE_ACTIVITY	TOKEN_QUIET	2336	0
TOKEN_BASE_ACTIVITY	TOKEN_BASE_ACTIVITY	374373	0
